2025-06-18,#37ff70,"QMS Garden Party 2025","A nice opportunity to socialise with other mathematicians after your exams are finished."
2025-10-05,#1a7d56,"Queens' Societies Fair","A chance to see what societies Queens' has to offer, we will have a stand!"
2025-10-15,#db1a0e,"Pizza Social x ENS","Chat with other mathmos (not necessarily about maths) while enjoying some pizza."
2025-10-17,#ff7700,"Maths Mahal 2025","A social night at Curry King, a Queens' tradition. Gowns must be worn for this event."
2025-10-22,#950edb,"Student Summer Talks","Hear some of our current students give talks about what they've been doing over the summer break."
2025-10-29,#950edb,"Ordinals, Dr. Thomas Forster","Dr. Forster is a renounced researcher in Axiomatic Set Theory and will be giving a talk on Ordinals over Zoom."
2025-11-05,#950edb,"Running in Circles, Justin Chan","Justin is a third-year undergraduate student at Queens', he will be giving a talk on Monodromy, part of Algebraic Topology."
2025-11-12,#950edb,"Local Cues and Global Truths: Other norms on Q, Ahmed Mehrez","Ahmed will be giving a talk the p-adics and non-Archimedean geometry."
2025-11-18,#950edb,"Five Mathematical Knick-Knacks, Luke Holland","Luke will be talking about a collection of mathematical tid-bits from multiple areas."
2025-11-24,#287a25,"The ABC mysteries, Prof. Minhyong Kim","Professor Kim will be giving a talk on the ABC conjecture and the controversy surrounding it and Shinichi Mochizuki."
2026-01-27,#950edb,"How maths works and why it doesn't, Ben Balaam","Ben gives an introduction to axiomatic set theory, including the early history of it and related fields."
2026-02-03,#950edb,"If Groups and Differential Equations had a Kid, Ahmed Mehrez","Ahmed will give a talk on an introduction to differential Galois theory and its applications (or lack thereof)."
2026-02-10,#950edb,"Stochastic Analysis: Calculus Beyond Paths, Jack Brightwell","Jack, a recent Queens' alumnus, discusses the building blocks of stochastic calculus."
2026-02-17,#950edb,"De Morgan's Law and the Axiom of Part IA, Prof. Peter Johnstone","Prof. Johnstone is known for his development of topos theory and category theory, his talk will cover De Morgan's law its consequences."
2026-02-24,#950edb,"Why 1+2+3+...=-1/12, and Other Divergent Series, Luke Holland","Luke's talk covers the different methods we have of assigning values to divergent series."
2026-03-03,#950edb,"Erdős Problems & Recent AI Breakthroughs, Mansur Boase","Mansur is a Queens' academic in the field of number theory, he explains some of the maths behind the recent Erdős problem discoveries."
2026-03-10,#950edb,"Freiling's Darts, Prof. Benedikt Löwe","Prof. Löwe is a Cambridge lecturer whose research is in descriptive set theory. He discusses research related to the continuum problem."
2026-03-17,#950edb,"Analysis for (Almost) Everyone, Justin Chan","Justin discusses the rigorous basis for much of applied mathematics, through the lens of analysis."
2026-03-18,#0076ff,"Maths Dinner 2026","An Old Hall formal which gives academics and students a chance to discuss mathematics in a social setting."
2026-06-18,#37ff70,"QMS Garden Party 2026","A nice opportunity to socialise with other mathematicians after your exams are finished."
